,skill,count,word_count
1303,os,18,1
5314,jasmine,18,1
2191,business,18,1
1825,voice,18,1
5202,jpa,18,1
189,operations,18,1
4894,scom,18,1
1699,debugging,18,1
3333,elasticsearch,17,1
4150,troubleshoot,17,1
625,diagnostic,17,1
1356,rabbitmq,17,1
4444,vulnerability,17,1
1473,ims,17,1
2848,mcp,17,1
4831,hcm,17,1
1933,js,17,1
954,bamboo,17,1
161,centos,17,1
1476,saml,17,1
2851,s,17,1
546,sdn,17,1
2921,datastage,17,1
1958,triggers,17,1
1920,opengl,17,1
1612,drupal,17,1
1668,dom,16,1
1746,cd,16,1
665,forth,16,1
2839,o365,16,1
1078,word,16,1
1326,bpm,16,1
2636,installation,16,1
1540,oltp,16,1
4875,sdk,16,1
3048,iaas,16,1
1477,sso,16,1
513,bmc,16,1
1790,simulation,16,1
2446,sketch,16,1
944,training,16,1
2114,amazon,16,1
1991,tsql,16,1
937,qlikview,16,1
284,aml,16,1
1923,knockout,16,1
3198,stp,16,1
2100,digital,16,1
3138,strategy,16,1
1139,a+,15,1
1686,400,15,1
2800,groovy,15,1
5283,billing,15,1
3380,essbase,15,1
1286,kanban,15,1
1774,multimedia,15,1
1586,pm,15,1
3835,mongo,15,1
1680,mac,15,1
1703,ide,15,1
1544,jmeter,15,1
552,ards,15,1
1500,vdi,15,1
304,audit,15,1
1073,redux,15,1
717,rails,14,1
3511,requirements,14,1
5475,insurance,14,1
2309,messaging,14,1
1961,communication,14,1
1859,mm,14,1
6820,manufacturing,14,1
4575,cloudera,14,1
3568,npm,14,1
4588,checkpoint,14,1
324,rational,14,1
1248,rtos,14,1
2150,grunt,14,1
1714,migration,14,1
3668,switch,14,1
2038,erwin,14,1
114,redshift,14,1
660,cryptography,14,1
2986,st,14,1
1285,safe,14,1
1145,circuits,14,1
1824,avaya,14,1
4114,axure,14,1
292,unity,14,1
4955,imaging,14,1
3341,environmental,14,1
502,framework,14,1
3060,fi,13,1
463,dhtml,13,1
3338,technology,13,1
6705,office,13,1
2883,3d,13,1
2912,pmo,13,1
2384,databases,13,1
2747,obiee,13,1
2629,bw,13,1
3309,payments,13,1
2808,7,13,1
3486,kubernetes,13,1
4445,anti-virus,13,1
2306,flume,13,1
6217,distribution,13,1
2179,statistics,13,1
1965,webapi,13,1
1053,hyperion,13,1
4223,xenapp,13,1
4295,vcenter,13,1
4380,maintenance,13,1
631,ooad,13,1
170,pharma,13,1
728,mssql,13,1
4761,dashboards,13,1
135,xsl,13,1
851,wireframes,13,1
3676,nist,13,1
490,multi-threaded,12,1
1969,clarity,12,1
1135,cabling,12,1
2812,clearcase,12,1
1332,lean,12,1
1853,cgi,12,1
1342,pricing,12,1
2865,extjs,12,1
1875,peripheral,12,1
1482,mcsa,12,1
556,next,12,1
4357,trading,12,1
569,vm,12,1
1533,antivirus,12,1
5497,audio,12,1
1388,sans,12,1
5131,ems,12,1
1406,script,12,1
3107,c#.net,12,1
3635,qtp,12,1
243,dem,12,1
1672,ftp,12,1
1148,sonet,12,1
