,skill,count,word_count,stem skill
4057,storm,22,1, storm
3981,nas,22,1, na
551,hr,22,1, hr
1376,sfdc,21,1, sfdc
974,jee,21,1, jee
3800,multithreading,21,1, multithread
2248,coding,21,1, code
1260,s3,21,1, s3
942,illustrator,21,1, illustr
475,microstrategy,21,1, microstrategi
1423,backup,21,1, backup
1983,recovery,21,1, recoveri
3016,autocad,21,1, autocad
1906,hdfs,20,1, hdf
2365,confluence,20,1, confluenc
329,xcode,20,1, xcode
331,basic,20,1, basic
353,micro,20,1, micro
1298,ups,20,1, up
1778,assembly,20,1, assembl
3227,sun,20,1, sun
32,iam,20,1, iam
1546,cucumber,20,1, cucumb
1658,sqoop,20,1, sqoop
3247,admin,20,1, admin
1731,hipaa,20,1, hipaa
930,backbone.js,20,1, backbone.j
3387,hub,20,1, hub
860,scm,19,1, scm
2523,go,19,1, go
911,redis,19,1, redi
531,gui,19,1, gui
397,deployment,19,1, deploy
749,nagios,19,1, nagio
2393,snmp,19,1, snmp
1673,smtp,19,1, smtp
1779,cad,19,1, cad
725,postgres,19,1, postgr
585,circuit,19,1, circuit
2640,testng,19,1, testng
3087,financial,19,1, financi
121,pci,18,1, pci
3101,jvm,18,1, jvm
5595,netapp,18,1, netapp
2680,xsd,18,1, xsd
2588,qos,18,1, qo
1337,backend,18,1, backend
2690,asa,18,1, asa
1249,bigdata,18,1, bigdata
600,functional,18,1, function
3770,mvvm,18,1, mvvm
488,flash,18,1, flash
1303,os,18,1, os
5314,jasmine,18,1, jasmin
2191,business,18,1, busi
1825,voice,18,1, voic
5202,jpa,18,1, jpa
189,operations,18,1, oper
4894,scom,18,1, scom
1699,debugging,18,1, debug
3333,elasticsearch,17,1, elasticsearch
625,diagnostic,17,1, diagnost
1356,rabbitmq,17,1, rabbitmq
4444,vulnerability,17,1, vulner
1473,ims,17,1, im
2848,mcp,17,1, mcp
4831,hcm,17,1, hcm
1933,js,17,1, js
954,bamboo,17,1, bamboo
161,centos,17,1, cento
1476,saml,17,1, saml
546,sdn,17,1, sdn
2921,datastage,17,1, datastag
1958,triggers,17,1, trigger
1920,opengl,17,1, opengl
1612,drupal,17,1, drupal
1668,dom,16,1, dom
1746,cd,16,1, cd
665,forth,16,1, forth
2839,o365,16,1, o365
1078,word,16,1, word
1326,bpm,16,1, bpm
2636,installation,16,1, instal
1540,oltp,16,1, oltp
4875,sdk,16,1, sdk
3048,iaas,16,1, iaa
1477,sso,16,1, sso
513,bmc,16,1, bmc
1790,simulation,16,1, simul
2446,sketch,16,1, sketch
944,training,16,1, train
2114,amazon,16,1, amazon
